alpha_key,date_first_relation,date_of_birth,flag_last90_active_mob_rob,gender,state,amount_deposit_spot_balance,total_deposits_ixi,Business Line Of Credit,Cdira,Checking,Commercial Loan,Credit Card,Escrow,Standalone Savings,Home Equity,Investments,Loan,Loan - Personal,Loc - Personal,Money Market,Mortgage,Odloc,Other,Savings,age,tenure_years,sow,n_products
user_00010,2013-06-22,1977-11-25,1,Female,MI,9090.46,20575.24,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,48.3,12.75,0.4418,4
user_00011,2024-12-16,1955-06-12,1,Female,TX,105143.06,114454.64,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,70.8,1.26,0.9186,4
user_00012,2017-01-17,1967-06-09,1,Male,KS,18101.57,33062.53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58.8,9.18,0.5475,1
user_00013,2012-02-04,1966-03-03,0,Male,MT,44738.46,637201.63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60.1,14.13,0.0702,1
user_00014,2016-03-04,1968-05-08,1,Female,AZ,22198.61,270536.2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,57.9,10.05,0.0821,5
user_00015,2012-02-21,1964-12-03,1,Male,FL,509774.4,509774.4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,61.3,14.08,1.0,3
user_00016,2024-12-01,1978-07-25,1,Female,MN,11539.0,99158.21,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47.7,1.31,0.1164,3
user_00017,2018-01-04,1997-10-27,1,Female,MD,65562.06,65562.06,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,28.4,8.21,1.0,3
user_00018,2014-05-30,1962-03-28,1,,OR,19772.14,86703.27,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,64.0,11.81,0.228,4
user_00019,2016-06-01,1981-09-15,1,Female,NY,109208.2,186243.5,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,44.5,9.81,0.5864,9
user_00020,2012-12-16,1979-03-18,0,Male,TX,63995.14,584894.98,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,47.0,13.26,0.1094,3
user_00021,2019-01-09,1985-09-08,0,Male,TX,202780.81,1416372.62,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,40.5,7.2,0.1432,5
user_00022,2015-10-31,1995-02-06,0,Male,GA,106527.57,1045308.41,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,31.1,10.39,0.1019,7
user_00023,2019-08-24,1957-11-20,1,Female,AK,19578.3,69285.11,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,68.3,6.58,0.2826,5
user_00024,2013-01-30,1965-02-23,1,Male,TX,1489365.67,5727545.92,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,61.1,13.14,0.26,3
user_00025,2024-01-01,1972-01-13,1,Male,IL,87634.42,118365.49,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,54.2,2.22,0.7404,3
user_00026,2022-01-17,1984-02-08,1,Female,IN,23239.84,45671.77,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,42.1,4.18,0.5088,4
user_00027,2024-04-30,1963-02-01,1,Male,CT,57587.81,551222.04,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,63.1,1.89,0.1045,6
user_00028,2015-07-20,1976-12-14,1,Female,OH,95934.23,576788.02,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,49.3,10.67,0.1663,2
user_00029,2022-05-10,1982-01-20,1,Female,ID,91653.56,446519.85,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,44.2,3.87,0.2053,6
user_00030,2021-02-17,1981-09-14,1,Female,FL,81605.46,1003839.29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,44.5,5.09,0.0813,4
user_00031,2013-08-06,1992-11-11,0,Female,MT,143515.22,227312.86,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,33.4,12.63,0.6314,3
user_00032,2020-07-04,1999-08-15,1,Female,PA,127544.8,1016973.18,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,26.6,5.72,0.1254,7
user_00033,2023-08-14,1976-06-30,1,Male,HI,16274.23,28396.27,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,49.7,2.61,0.5731,4
user_00034,2025-06-05,1959-10-31,1,Female,OR,564718.52,8255430.55,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,66.4,0.8,0.0684,2
user_00035,2022-06-11,2001-01-13,1,,MN,477864.81,3310674.45,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,25.2,3.78,0.1443,5
user_00036,2012-06-18,1961-04-24,0,Female,MD,117662.5,1140727.45,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,64.9,13.76,0.1031,5
user_00037,2017-10-10,1962-11-04,1,,KS,47138.9,120515.83,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,63.4,8.45,0.3911,3
user_00038,2011-04-21,1990-05-22,0,Female,CO,48121.33,1235713.89,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,14.92,0.0389,2
user_00039,2022-08-12,1972-08-22,0,Female,IN,30512.77,676539.97,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,53.6,3.61,0.0451,3
user_00040,2020-08-19,1995-12-19,1,Male,TX,35637.61,225361.24,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,30.3,5.59,0.1581,5
user_00041,2023-05-14,1966-04-28,1,Female,CA,3262.59,37439.66,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59.9,2.86,0.0871,2
user_00042,2019-12-15,1969-03-14,1,Female,WA,282302.34,993733.64,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,57.0,6.27,0.2841,4
user_00043,2017-07-24,1986-07-02,1,Female,CA,184861.49,300311.98,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,39.7,8.66,0.6156,4
user_00044,2014-01-04,2000-10-30,1,Male,KS,6017.3,50971.71,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,25.4,12.21,0.1181,3
user_00045,2020-05-23,1955-09-10,0,Male,NY,130928.06,281237.62,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,70.5,5.83,0.4655,6
user_00046,2014-07-17,1981-12-10,1,Female,TX,44585.33,569968.49,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,44.3,11.68,0.0782,5
user_00047,2016-08-25,1959-07-27,0,Male,CO,35438.79,367268.66,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,66.7,9.57,0.0965,4
user_00048,2021-07-01,1970-05-01,1,Female,CO,81294.01,439769.37,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,55.9,4.73,0.1849,4
user_00049,2012-07-02,1965-04-22,0,Female,NY,5558.44,28753.36,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,60.9,13.72,0.1933,4
user_00050,2019-06-08,1966-03-25,1,Male,IL,44396.63,439041.64,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,60.0,6.79,0.1011,5
user_00051,2023-07-18,1994-06-30,1,Male,NC,49503.33,276356.34,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,31.7,2.68,0.1791,6
user_00052,2011-10-08,1986-01-11,1,Female,TX,49560.85,160714.88,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.2,14.46,0.3084,3
user_00053,2012-06-25,1980-11-21,1,Male,CA,8720.49,11635.6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,45.3,13.74,0.7495,4
user_00054,2025-01-05,1979-05-03,0,Female,TX,76935.06,742543.48,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,46.9,1.21,0.1036,4
user_00055,2012-08-22,2002-01-14,1,Male,AR,160523.52,964482.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.2,13.58,0.1664,2
user_00056,2011-12-28,1976-11-24,1,Male,UT,73365.97,2980923.13,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,49.3,14.23,0.0246,4
user_00057,2013-09-15,1996-07-06,1,Male,WI,34179.87,141869.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.7,12.52,0.2409,2
user_00058,2022-01-13,1967-01-21,1,Female,ND,1134005.36,6471350.22,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,59.2,4.19,0.1752,4
user_00059,2016-07-29,1970-01-27,1,Female,WI,14837.72,86278.08,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,56.2,9.65,0.172,3
user_00060,2017-12-04,1958-02-05,1,Female,TX,113841.15,858691.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,68.1,8.3,0.1326,4
user_00061,2016-09-26,1966-12-27,1,Male,AR,60255.32,124597.41,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,59.2,9.49,0.4836,3
user_00062,2016-10-16,1985-11-23,1,Female,AL,503426.65,2121048.51,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,40.3,9.43,0.2373,5
user_00063,2016-06-17,1955-11-07,1,Male,AZ,71576.18,621968.72,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,70.4,9.76,0.1151,5
user_00064,2018-04-11,1983-09-07,0,Female,MI,92577.75,317932.16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,42.5,7.95,0.2912,3
user_00065,2015-09-19,1987-12-08,1,Female,NY,82559.8,696225.68,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,38.3,10.51,0.1186,5
user_00066,2018-02-04,1958-12-13,1,Male,MS,12637.59,61193.94,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,67.3,8.13,0.2065,3
user_00067,2025-06-29,1985-09-14,1,Female,OH,15863.26,98052.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0.73,0.1618,0
user_00068,2025-03-22,2000-05-29,1,,MI,32325.65,363860.36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.8,1.0,0.0888,1
user_00069,2011-11-02,1980-09-30,1,Male,AR,141956.67,530403.16,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,45.5,14.39,0.2676,8
user_00070,2012-07-17,1964-06-10,1,,FL,59523.94,83504.26,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,61.8,13.68,0.7128,5
user_00071,2017-03-28,1994-10-02,1,Female,WY,35113.32,127167.95,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,31.5,8.99,0.2761,5
user_00072,2023-03-15,1981-01-29,1,Male,IN,233528.06,540696.49,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,45.1,3.02,0.4319,3
user_00073,2014-05-25,1997-09-24,1,Female,IL,4169.29,4169.29,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,28.5,11.83,1.0,8
user_00074,2023-08-27,1969-11-25,0,Male,CT,9503.67,39108.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,56.3,2.57,0.243,3
user_00075,2020-04-05,1980-06-10,1,Female,WI,2249.58,11822.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.8,5.96,0.1903,2
user_00076,2020-12-12,1987-09-19,1,Female,FL,191834.9,1945441.4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,38.5,5.28,0.0986,4
user_00077,2025-07-21,1992-11-17,1,Male,NC,40068.53,72178.54,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,33.3,0.67,0.5551,5
user_00078,2014-01-10,1976-01-01,1,Female,AR,143482.44,690235.91,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,50.2,12.2,0.2079,3
user_00079,2018-05-04,1970-09-26,1,Female,CA,39470.46,436167.16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55.5,7.89,0.0905,2
user_00080,2021-02-22,1957-03-18,1,Female,OR,153620.13,434747.38,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,69.0,5.08,0.3534,4
user_00081,2018-05-17,1982-05-15,1,Male,NC,38650.5,266010.86,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,43.9,7.85,0.1453,4
user_00082,2025-09-24,1996-03-11,1,Male,OH,73593.46,1184090.92,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,30.0,0.49,0.0622,4
user_00083,2019-05-24,1962-08-04,1,Female,FL,61736.71,62361.45,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,63.6,6.83,0.99,5
user_00084,2018-03-13,1972-09-26,0,Female,WI,67485.4,376167.56,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,53.5,8.03,0.1794,8
user_00085,2020-10-21,1969-03-19,1,Female,NJ,339796.58,3860913.36,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,57.0,5.42,0.088,6
user_00086,2013-09-08,1999-05-14,1,Female,WV,6406.76,21688.51,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.9,12.54,0.2954,2
user_00087,2022-02-09,1988-08-10,1,Female,DE,41454.75,563411.6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,37.6,4.11,0.0736,3
user_00088,2023-09-25,1965-10-31,0,Male,MD,57068.21,424802.59,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,60.4,2.49,0.1343,5
user_00089,2018-01-30,1962-08-12,1,Female,IN,47684.52,880150.26,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,63.6,8.14,0.0542,5
user_00090,2012-11-11,1982-06-19,1,Female,PA,27916.01,199371.93,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,43.8,13.36,0.14,3
user_00091,2020-04-15,1963-12-27,0,Male,PA,23688.81,467329.19,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,62.2,5.94,0.0507,6
user_00092,2025-01-20,1962-02-21,1,Male,MO,282218.07,1607893.31,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,64.1,1.17,0.1755,5
user_00093,2011-08-31,1984-11-07,1,Female,AK,41338.62,62026.44,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,41.4,14.56,0.6665,5
user_00094,2019-04-16,1959-04-28,0,Female,FL,838989.62,2269688.84,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,66.9,6.93,0.3696,7
user_00095,2023-03-23,1989-10-23,1,Female,CA,84825.18,858582.91,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,36.4,3.0,0.0988,5
user_00096,2016-10-20,1992-03-31,1,Male,TX,31787.59,316722.98,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,34.0,9.42,0.1004,5
user_00097,2021-02-04,1970-02-06,1,Female,IL,87345.99,305330.85,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,56.1,5.13,0.2861,3
user_00098,2012-02-17,1972-05-21,0,Male,CA,51284.16,973426.76,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,53.8,14.09,0.0527,6
user_00099,2021-06-20,1997-03-28,0,Male,IA,225216.38,760432.61,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,29.0,4.76,0.2962,8
user_00100,2017-10-02,1962-08-03,1,Female,CA,11082.81,71878.51,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,63.6,8.47,0.1542,4
user_00101,2017-11-07,1994-03-26,1,Female,WI,5182.25,32873.47,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,32.0,8.37,0.1576,7
user_00102,2022-03-20,1963-12-25,1,Female,IL,69396.73,107282.29,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,62.2,4.01,0.6469,3
user_00103,2018-06-28,2003-11-10,1,,VA,122669.97,503258.54,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,22.4,7.73,0.2438,7
user_00104,2024-02-25,1964-05-20,0,Female,OH,63418.08,1908385.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,61.8,2.07,0.0332,3
user_00105,2016-05-24,1964-11-17,1,Male,NM,100849.84,216116.84,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,61.3,9.83,0.4666,4
user_00106,2014-09-25,1965-03-17,1,Male,MS,84536.78,624725.77,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,61.0,11.49,0.1353,6
user_00107,2011-12-14,1970-12-25,1,Female,OH,7615.47,13553.93,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,55.2,14.27,0.5619,5
user_00108,2021-01-03,1980-08-24,1,Female,OH,63064.0,134021.31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45.6,5.22,0.4706,3
user_00109,2021-08-05,1968-12-19,0,Male,AK,218502.9,315882.12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,57.3,4.63,0.6917,3
user_00110,2017-10-09,1990-05-15,1,Male,VT,55300.55,526178.03,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,35.9,8.45,0.1051,4
user_00111,2015-09-07,1965-03-10,1,Male,KY,9343.8,20855.18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,61.0,10.54,0.448,3
user_00112,2011-05-03,1976-06-11,0,Male,IA,30145.45,372422.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,49.8,14.89,0.0809,2
user_00113,2025-05-15,1981-04-12,0,Female,MD,87774.46,257164.12,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,44.9,0.85,0.3413,4
user_00114,2022-04-11,1978-12-12,1,,OH,388160.47,1927189.95,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,47.3,3.95,0.2014,5
user_00115,2021-12-04,1975-10-16,0,Male,LA,4301.86,26793.3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,50.4,4.3,0.1606,3
user_00116,2022-01-10,2002-05-13,1,Female,KY,69417.64,85339.72,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,23.9,4.2,0.8134,3
user_00117,2019-01-03,1997-03-27,1,Female,CA,14702.44,77550.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29.0,7.22,0.1896,1
user_00118,2013-01-26,1991-12-14,1,Male,MA,82759.19,490709.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34.3,13.15,0.1687,2
user_00119,2025-04-13,1998-07-02,1,Male,CO,91109.31,1016452.18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,27.7,0.94,0.0896,3
user_00120,2013-11-24,1982-03-31,1,Male,TX,34017.87,70759.24,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,44.0,12.33,0.4808,4
user_00121,2016-10-09,1970-10-21,1,Male,IN,96022.4,223847.28,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,55.4,9.45,0.429,3
user_00122,2016-10-22,1971-07-04,1,Male,WA,176714.84,1342348.16,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,54.7,9.42,0.1316,7
user_00123,2015-11-23,1980-09-02,1,Male,OH,36935.62,512392.03,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,45.6,10.33,0.0721,6
user_00124,2024-01-22,1961-06-21,1,Male,PA,9043.72,25230.87,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,64.8,2.17,0.3584,6
user_00125,2014-11-25,1975-12-19,1,Male,WA,248974.35,415377.17,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,50.3,11.32,0.5994,7
user_00126,2022-02-18,2000-04-07,1,Male,GA,121643.7,423144.54,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26.0,4.09,0.2875,3
user_00127,2018-03-29,1965-12-22,1,Female,NM,88514.84,176357.26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,60.2,7.98,0.5019,4
user_00128,2015-11-30,1975-07-01,0,Male,AR,19638.71,120992.36,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,50.7,10.31,0.1623,4
user_00129,2016-12-21,1972-06-28,0,Male,CA,146816.8,277360.39,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,53.7,9.25,0.5293,5
user_00130,2021-01-17,1975-12-16,1,Female,KY,521950.76,5094399.26,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,50.3,5.18,0.1025,4
user_00131,2019-12-27,1976-07-18,1,,OH,38903.73,206682.43,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,49.7,6.24,0.1882,3
user_00132,2018-10-27,1999-09-12,1,Male,TX,50403.15,504381.88,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,26.5,7.4,0.0999,4
user_00133,2025-02-18,1976-04-07,1,Female,GA,12533.86,12533.86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0,1.09,1.0,2
user_00134,2015-03-15,1964-06-24,0,Female,PA,18976.7,20836.19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,61.7,11.02,0.9108,3
user_00135,2024-04-13,1989-01-10,1,Male,FL,12393.59,156228.13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37.2,1.94,0.0793,2
user_00136,2019-01-30,1974-01-31,1,,AL,52649.12,132692.28,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,52.1,7.14,0.3968,2
user_00137,2016-03-25,2002-09-08,1,Female,CA,29896.09,41455.54,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,23.5,9.99,0.7212,3
user_00138,2024-07-26,1986-11-07,1,Male,NY,70388.0,268235.16,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,39.4,1.66,0.2624,3
user_00139,2011-04-17,1982-05-23,0,Male,MO,15431.05,83953.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,43.8,14.93,0.1838,3
user_00140,2020-04-05,1955-02-02,1,Male,HI,36803.56,145355.58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71.1,5.96,0.2532,2
user_00141,2025-07-03,1993-07-01,1,Female,AL,14330.91,93394.3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,32.7,0.72,0.1534,4
user_00142,2016-03-06,1990-05-26,1,,NM,56359.36,329556.74,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,35.8,10.05,0.171,5
user_00143,2017-08-23,1983-10-20,0,Male,TX,6346.31,35587.5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,42.4,8.58,0.1783,5
user_00144,2016-06-11,1954-08-04,1,Female,CA,53976.92,711413.08,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,71.6,9.78,0.0759,5
user_00145,2014-11-03,1961-07-22,0,Female,PA,32207.08,142713.9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,64.7,11.38,0.2257,4
user_00146,2018-11-01,2002-06-29,0,Male,NC,55914.26,242004.23,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,23.7,7.39,0.231,5
user_00147,2013-09-27,1992-07-12,1,Male,MS,6196.24,52783.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,33.7,12.48,0.1174,3
user_00148,2020-05-12,1963-02-21,0,Male,CA,98723.33,688454.39,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,63.1,5.86,0.1434,5
user_00149,2017-10-28,2001-04-24,1,Female,VA,31442.83,68435.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,8.4,0.4595,1
user_00150,2023-06-08,1961-06-10,1,,MS,58393.1,243108.23,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,64.8,2.79,0.2402,5
user_00151,2016-09-27,1990-02-27,1,Female,MD,4771.08,30360.93,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,36.1,9.48,0.1571,3
user_00152,2021-12-09,1958-05-05,1,Male,TX,10128.8,28386.68,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,67.9,4.28,0.3568,4
user_00153,2015-08-17,1989-07-19,1,Male,TX,28176.2,82034.27,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36.7,10.6,0.3435,2
user_00154,2014-02-11,1982-07-06,1,Male,PA,234454.76,345190.3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,43.7,12.11,0.6792,3
user_00155,2013-04-10,1971-02-17,1,Male,TX,84723.08,84723.08,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,55.1,12.95,1.0,4
user_00156,2012-04-03,1997-11-29,1,Male,CA,52589.29,174731.35,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,28.3,13.97,0.301,5
user_00157,2023-12-17,1976-05-16,1,Female,RI,14842.47,73649.79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,49.9,2.26,0.2015,2
