alpha_key,control_flag,BT_Transaction_Amount,BT_flag,nsegments,BT_Transaction_Date
user_00055,0,0.0,0,"['1000004', '1000031', '1000033', '1000016', '1000038']",2025-08-21
user_00056,0,0.0,0,"['1000004', '1000001', '1000030']",2025-05-13
user_00057,0,0.0,0,"['1000009', '1000006', '1000001']",2025-03-01
user_00058,1,0.0,0,"['1000001', '1000004']",2025-09-05
user_00059,1,555.32,1,"['1000038', '1000005', '1000029']",2025-05-03
user_00060,0,2468.86,1,"['1000000', '1000006', '1000034']",2025-10-04
user_00061,0,2560.95,1,"['1000003', '1000005', '1000029']",2025-11-22
user_00062,0,0.0,0,"['1000002', '1000001', '1000037', '1000008']",2025-05-23
user_00063,0,2335.12,1,"['1000019', '1000002', '1000004', '1000009', '1000020']",2025-02-20
user_00064,0,0.0,0,"['1000005', '1000033', '1000026', '1000013', '1000009', '1000017']",2025-01-01
user_00065,0,0.0,0,"['1000023', '1000002']",2025-08-04
user_00066,0,0.0,0,"['1000031', '1000009', '1000036']",2025-11-19
user_00067,1,0.0,0,"['1000037', '1000000', '1000007', '1000011']",2025-11-24
user_00068,1,0.0,0,"['1000012', '1000029']",2025-11-25
user_00069,0,0.0,0,"['1000002', '1000017', '1000036']",2025-01-06
user_00070,1,0.0,0,"['1000039', '1000000', '1000038', '1000002']",2025-01-20
user_00071,0,0.0,0,"['1000012', '1000004', '1000016', '1000000', '1000007']",2025-12-19
user_00072,0,0.0,0,"['1000034', '1000015', '1000022']",2025-09-04
user_00073,1,0.0,0,"['1000020', '1000007', '1000000', '1000002']",2025-11-19
user_00074,1,0.0,0,"['1000009', '1000036', '1000004', '1000021']",2025-12-24
user_00075,1,0.0,0,"['1000029', '1000034', '1000005', '1000035', '1000016']",2025-09-18
user_00076,1,0.0,0,"['1000010', '1000026', '1000004']",2025-05-27
user_00077,0,11445.07,1,"['1000028', '1000018', '1000027', '1000031', '1000017']",2025-09-16
user_00078,0,0.0,0,"['1000000', '1000005', '1000032', '1000017', '1000033']",2025-08-17
user_00079,0,0.0,0,"['1000007', '1000010', '1000031']",2025-11-13
user_00080,0,3447.79,1,"['1000025', '1000007', '1000000', '1000032']",2025-11-11
user_00081,0,0.0,0,"['1000027', '1000008', '1000012', '1000004']",2025-03-04
user_00082,0,0.0,0,"['1000008', '1000003', '1000004']",2025-11-18
user_00083,1,1203.84,1,"['1000030', '1000007', '1000028', '1000009']",2025-09-13
user_00084,1,0.0,0,"['1000001', '1000007', '1000003']",2025-09-26
user_00085,1,0.0,0,"['1000021', '1000034', '1000025', '1000026', '1000031']",2025-05-06
user_00086,0,0.0,0,"['1000026', '1000014']",2025-06-27
user_00087,0,0.0,0,"['1000022', '1000008', '1000001', '1000025']",2025-11-16
user_00088,1,0.0,0,"['1000004', '1000037', '1000001']",2025-02-20
user_00089,0,0.0,0,"['1000024', '1000038', '1000006', '1000034']",2025-07-14
user_00090,1,0.0,0,"['1000029', '1000024', '1000037', '1000019']",2025-12-19
user_00091,0,0.0,0,"['1000009', '1000020', '1000008', '1000006']",2025-10-07
user_00092,0,0.0,0,"['1000001', '1000007', '1000028', '1000036']",2025-02-24
user_00093,0,0.0,0,"['1000038', '1000004', '1000014']",2025-03-02
user_00094,1,0.0,0,"['1000014', '1000003', '1000007']",2025-07-03
user_00095,0,0.0,0,"['1000036', '1000005', '1000030', '1000033']",2025-03-30
user_00096,0,0.0,0,"['1000024', '1000004']",2025-11-18
user_00097,1,0.0,0,"['1000005', '1000038', '1000001', '1000002', '1000027']",2025-11-02
user_00098,1,0.0,0,"['1000024', '1000003', '1000009', '1000030']",2025-12-15
user_00099,0,0.0,0,"['1000006', '1000003', '1000000', '1000017', '1000005']",2025-05-25
user_00100,0,0.0,0,"['1000031', '1000005', '1000003']",2025-04-15
user_00101,0,0.0,0,"['1000037', '1000021', '1000035', '1000003']",2025-07-12
user_00102,1,2462.68,1,"['1000009', '1000004']",2025-02-11
user_00103,0,0.0,0,"['1000009', '1000027', '1000030', '1000000', '1000007', '1000039']",2025-09-22
user_00104,0,0.0,0,"['1000015', '1000005', '1000007', '1000006']",2025-11-14
user_00105,0,0.0,0,"['1000008', '1000010', '1000009', '1000014']",2025-03-03
user_00106,0,697.17,1,"['1000000', '1000001', '1000007', '1000033']",2025-03-14
user_00107,1,0.0,0,"['1000027', '1000002', '1000009']",2025-04-21
user_00108,1,0.0,0,"['1000016', '1000009', '1000021', '1000039']",2025-10-20
user_00109,0,0.0,0,"['1000001', '1000010', '1000013', '1000003', '1000021']",2025-04-29
user_00110,0,13599.49,1,"['1000000', '1000024']",2025-09-24
user_00111,1,0.0,0,"['1000019', '1000006', '1000039', '1000029', '1000012', '1000028']",2025-12-01
user_00112,1,0.0,0,"['1000002', '1000015', '1000014', '1000019', '1000036']",2025-06-09
user_00113,0,0.0,0,"['1000009', '1000001', '1000027', '1000007', '1000000', '1000006']",2025-02-20
user_00114,1,0.0,0,"['1000020', '1000001', '1000007', '1000002', '1000009']",2025-12-01
user_00115,0,0.0,0,"['1000002', '1000021', '1000003']",2025-05-16
user_00116,0,0.0,0,"['1000003', '1000015', '1000000', '1000009']",2025-08-07
user_00117,0,0.0,0,"['1000007', '1000012']",2025-12-17
user_00118,0,12732.61,1,"['1000039', '1000008', '1000014', '1000035', '1000009']",2025-11-24
user_00119,0,0.0,0,"['1000026', '1000012', '1000018']",2025-11-01
user_00120,0,0.0,0,"['1000035', '1000000', '1000034', '1000009', '1000016']",2025-05-10
user_00121,0,0.0,0,"['1000009', '1000005', '1000001']",2025-09-02
user_00122,1,0.0,0,"['1000036', '1000017', '1000032']",2025-05-02
user_00123,0,0.0,0,"['1000005', '1000007']",2025-07-20
user_00124,1,0.0,0,"['1000004', '1000009', '1000036', '1000032']",2025-05-04
user_00125,0,6049.09,1,"['1000009', '1000006', '1000016']",2025-11-03
user_00126,1,0.0,0,"['1000016', '1000021', '1000012']",2025-10-02
user_00127,1,0.0,0,"['1000000', '1000001', '1000038']",2025-12-12
user_00128,1,0.0,0,"['1000024', '1000036', '1000006']",2025-04-08
user_00129,0,0.0,0,"['1000012', '1000006', '1000034', '1000005', '1000021', '1000003']",2025-12-04
user_00130,1,0.0,0,"['1000002', '1000003', '1000011', '1000030']",2025-04-01
user_00131,0,1062.73,1,"['1000039', '1000017', '1000012']",2025-08-22
user_00132,0,4384.11,1,"['1000027', '1000001', '1000028']",2025-03-05
user_00133,1,0.0,0,"['1000025', '1000011']",2025-09-23
user_00134,0,0.0,0,"['1000000', '1000004', '1000007']",2025-10-10
user_00135,1,0.0,0,"['1000036', '1000018']",2025-10-10
user_00136,0,950.48,1,"['1000010', '1000009']",2025-04-12
user_00137,0,3320.88,1,"['1000026', '1000006']",2025-10-23
user_00138,0,0.0,0,"['1000001', '1000020', '1000006']",2025-02-28
user_00139,1,0.0,0,"['1000006', '1000009', '1000004', '1000035', '1000030']",2025-09-25
user_00140,0,0.0,0,"['1000039', '1000037']",2025-06-21
user_00141,0,0.0,0,"['1000006', '1000007', '1000021', '1000000']",2025-03-07
user_00142,0,0.0,0,"['1000039', '1000000', '1000011', '1000020']",2025-12-22
user_00143,0,0.0,0,"['1000034', '1000018', '1000015', '1000006', '1000025']",2025-10-05
user_00144,0,0.0,0,"['1000010', '1000026', '1000001']",2025-02-23
user_00145,1,0.0,0,"['1000006', '1000037', '1000017', '1000011', '1000035']",2025-05-23
user_00146,1,0.0,0,"['1000003', '1000005', '1000031', '1000019', '1000012']",2025-09-27
user_00147,0,0.0,0,"['1000007', '1000008', '1000036', '1000020', '1000035', '1000038']",2025-03-14
user_00148,0,0.0,0,"['1000012', '1000016', '1000019', '1000030', '1000002']",2025-06-22
user_00149,1,0.0,0,"['1000036', '1000019']",2025-02-07
user_00150,0,0.0,0,"['1000032', '1000008', '1000009', '1000021', '1000026', '1000001']",2025-01-09
user_00151,0,19083.45,1,"['1000008', '1000026', '1000039', '1000000', '1000005']",2025-03-29
user_00152,1,0.0,0,"['1000009', '1000004', '1000000']",2025-09-17
user_00153,0,1501.8,1,"['1000012', '1000018', '1000008']",2025-07-05
user_00154,1,3338.69,1,"['1000007', '1000039', '1000009', '1000027', '1000005', '1000029']",2025-04-23
user_00155,0,7664.66,1,"['1000029', '1000005', '1000019']",2025-04-01
user_00156,1,0.0,0,"['1000020', '1000008', '1000026', '1000006', '1000009']",2025-10-21
user_00157,0,0.0,0,"['1000039', '1000003', '1000002']",2025-09-01
user_00158,0,0.0,0,"['1000002', '1000039', '1000003', '1000022']",2025-11-12
user_00159,0,0.0,0,"['1000025', '1000011']",2025-12-19
user_00160,1,0.0,0,"['1000038', '1000000', '1000017', '1000016']",2025-08-19
user_00161,0,0.0,0,"['1000006', '1000033', '1000013', '1000004']",2025-01-17
user_00162,1,0.0,0,"['1000001', '1000002', '1000033', '1000005', '1000034', '1000039']",2025-12-09
user_00163,1,0.0,0,"['1000030', '1000002', '1000001']",2025-02-17
user_00164,0,0.0,0,"['1000028', '1000001']",2025-09-16
user_00165,0,0.0,0,"['1000005', '1000028', '1000034']",2025-04-01
user_00166,0,0.0,0,"['1000026', '1000033']",2025-10-07
user_00167,0,0.0,0,"['1000013', '1000026', '1000006', '1000027', '1000020', '1000014']",2025-10-21
user_00168,1,0.0,0,"['1000039', '1000009']",2025-10-17
user_00169,0,0.0,0,"['1000017', '1000010', '1000005']",2025-04-10
user_00170,1,0.0,0,"['1000006', '1000038', '1000007', '1000020', '1000014']",2025-08-23
user_00171,0,0.0,0,"['1000033', '1000025', '1000001']",2025-03-11
user_00172,1,0.0,0,"['1000007', '1000022', '1000003']",2025-11-20
user_00173,0,1062.82,1,"['1000010', '1000006', '1000001', '1000039']",2025-02-25
user_00174,1,0.0,0,"['1000035', '1000024', '1000004']",2025-11-04
user_00175,1,2580.92,1,"['1000039', '1000017', '1000037', '1000000', '1000003']",2025-02-24
user_00176,0,3208.8,1,"['1000020', '1000034', '1000003', '1000006']",2025-04-16
user_00177,0,513.42,1,"['1000015', '1000039', '1000027']",2025-09-20
user_00178,0,0.0,0,"['1000035', '1000020', '1000032', '1000010']",2025-12-16
user_00179,0,0.0,0,"['1000002', '1000022', '1000016', '1000009', '1000005']",2025-09-16
user_00180,0,0.0,0,"['1000027', '1000029', '1000007']",2025-05-06
user_00181,0,0.0,0,"['1000035', '1000007', '1000002', '1000003']",2025-04-24
user_00182,0,8948.23,1,"['1000009', '1000001', '1000023']",2025-08-19
user_00183,1,0.0,0,"['1000027', '1000012', '1000033', '1000037']",2025-06-14
user_00184,0,8778.79,1,"['1000008', '1000001', '1000004', '1000019']",2025-03-17
user_00185,0,0.0,0,"['1000008', '1000021']",2025-08-18
user_00186,0,16658.72,1,"['1000020', '1000016', '1000003', '1000005']",2025-06-08
user_00187,1,0.0,0,"['1000007', '1000029']",2025-12-22
user_00188,0,0.0,0,"['1000020', '1000018', '1000010', '1000000']",2025-01-11
user_00189,1,0.0,0,"['1000004', '1000002', '1000001', '1000006']",2025-09-29
user_00190,0,0.0,0,"['1000027', '1000002', '1000003']",2025-10-19
user_00191,1,0.0,0,"['1000005', '1000004']",2025-10-21
user_00192,1,0.0,0,"['1000000', '1000005', '1000039', '1000006', '1000004', '1000009']",2025-09-13
user_00193,0,0.0,0,"['1000004', '1000013', '1000008']",2025-12-23
user_00194,1,0.0,0,"['1000033', '1000035', '1000022']",2025-04-23
user_00195,1,0.0,0,"['1000004', '1000009']",2025-05-20
user_00196,0,0.0,0,"['1000006', '1000027', '1000000', '1000019']",2025-12-08
user_00197,0,0.0,0,"['1000006', '1000009', '1000007']",2025-01-26
user_00198,1,0.0,0,"['1000020', '1000015', '1000004', '1000000', '1000031']",2025-10-29
user_00199,1,0.0,0,"['1000009', '1000017', '1000019', '1000000']",2025-09-30
user_00200,0,0.0,0,"['1000011', '1000010']",2025-08-03
user_00201,0,10876.05,1,"['1000001', '1000024', '1000004', '1000029']",2025-02-14
user_00202,0,9284.37,1,"['1000031', '1000004', '1000021']",2025-08-12
user_00203,1,0.0,0,"['1000000', '1000023']",2025-06-10
user_00204,1,0.0,0,"['1000009', '1000027', '1000007', '1000031']",2025-02-01
user_00205,1,1750.26,1,"['1000000', '1000003', '1000008']",2025-09-27
user_00206,1,1011.03,1,"['1000015', '1000000', '1000014', '1000007', '1000017']",2025-10-24
user_00207,0,0.0,0,"['1000034', '1000008', '1000013', '1000009']",2025-07-23
user_00208,1,0.0,0,"['1000002', '1000027', '1000033']",2025-03-01
user_00209,0,3435.28,1,"['1000028', '1000036', '1000009', '1000019', '1000003', '1000038']",2025-05-15
user_00210,0,0.0,0,"['1000014', '1000005', '1000028', '1000015']",2025-07-17
user_00211,0,0.0,0,"['1000036', '1000026', '1000032']",2025-07-07
user_00212,1,0.0,0,"['1000012', '1000011', '1000025', '1000002']",2025-08-04
user_00213,0,0.0,0,"['1000001', '1000039', '1000034', '1000037', '1000005', '1000031']",2025-03-31
user_00214,0,0.0,0,"['1000001', '1000009', '1000006']",2025-10-18
user_00215,0,0.0,0,"['1000032', '1000011', '1000005']",2025-01-28
user_00216,1,0.0,0,"['1000011', '1000002', '1000023', '1000017']",2025-12-27
user_00217,1,4089.86,1,"['1000016', '1000008', '1000005']",2025-05-31
user_00218,0,0.0,0,"['1000001', '1000036', '1000008']",2025-10-30
user_00219,0,6715.15,1,"['1000009', '1000007', '1000039', '1000027']",2025-01-22
user_00220,1,0.0,0,"['1000001', '1000016', '1000009', '1000027', '1000039']",2025-09-02
user_00221,0,0.0,0,"['1000024', '1000031', '1000010', '1000007']",2025-12-24
user_00222,0,669.84,1,"['1000018', '1000024']",2025-12-17
user_00223,0,2175.12,1,"['1000004', '1000010', '1000002']",2025-06-13
user_00224,1,0.0,0,"['1000004', '1000032']",2025-05-17
user_00225,0,0.0,0,"['1000002', '1000028', '1000007']",2025-11-19
user_00226,1,0.0,0,"['1000019', '1000034', '1000026', '1000029']",2025-08-21
user_00227,0,3306.54,1,"['1000005', '1000007', '1000023']",2025-12-14
user_00228,0,3779.1,1,"['1000026', '1000027', '1000024', '1000004', '1000005']",2025-03-27
user_00229,1,0.0,0,"['1000036', '1000013', '1000025', '1000015']",2025-06-14
user_00230,1,0.0,0,"['1000035', '1000032', '1000005', '1000033']",2025-04-25
user_00231,0,0.0,0,"['1000006', '1000008', '1000031', '1000005', '1000022']",2025-06-03
user_00232,0,0.0,0,"['1000039', '1000002', '1000022', '1000011']",2025-11-15
user_00233,0,0.0,0,"['1000008', '1000024', '1000013', '1000027', '1000039']",2025-11-23
user_00234,0,0.0,0,"['1000028', '1000001', '1000026', '1000018', '1000015']",2025-08-06
user_00235,0,0.0,0,"['1000025', '1000003', '1000008', '1000012']",2025-01-13
user_00236,0,3712.86,1,"['1000008', '1000032', '1000003']",2025-06-11
user_00237,0,13109.84,1,"['1000026', '1000008', '1000013']",2025-06-27
user_00238,1,0.0,0,"['1000003', '1000011', '1000004', '1000028', '1000019']",2025-09-18
user_00239,1,0.0,0,"['1000001', '1000007']",2025-04-09
user_00240,0,6997.0,1,"['1000031', '1000005', '1000023', '1000001', '1000035', '1000008']",2025-07-31
user_00241,0,0.0,0,"['1000009', '1000014', '1000007']",2025-10-02
user_00242,1,0.0,0,"['1000023', '1000000', '1000003', '1000019']",2025-07-27
user_00243,0,0.0,0,"['1000033', '1000001', '1000031']",2025-11-02
user_00244,0,0.0,0,"['1000029', '1000001', '1000002', '1000007', '1000025', '1000013']",2025-04-03
user_00245,0,0.0,0,"['1000008', '1000023']",2025-08-15
user_00246,0,0.0,0,"['1000005', '1000032', '1000019']",2025-06-16
user_00247,0,4151.69,1,"['1000006', '1000012', '1000005', '1000039', '1000008']",2025-05-29
user_00248,0,7896.68,1,"['1000033', '1000038', '1000012']",2025-06-04
user_00249,0,0.0,0,"['1000023', '1000014', '1000001']",2025-07-22
user_00250,0,0.0,0,"['1000037', '1000009', '1000033', '1000019', '1000002']",2025-07-07
user_00251,0,2809.34,1,"['1000008', '1000003', '1000022', '1000000', '1000038']",2025-07-29
user_00252,0,0.0,0,"['1000008', '1000009']",2025-12-17
user_00253,1,0.0,0,"['1000005', '1000001', '1000015', '1000006']",2025-08-20
user_00254,1,0.0,0,"['1000017', '1000013', '1000004']",2025-07-19
user_00255,0,0.0,0,"['1000009', '1000006', '1000004']",2025-12-03
user_00256,0,0.0,0,"['1000026', '1000000', '1000005', '1000011']",2025-03-28
user_00257,1,0.0,0,"['1000009', '1000036']",2025-04-01
user_00258,1,0.0,0,"['1000030', '1000025', '1000010', '1000008']",2025-02-12
user_00259,0,1841.35,1,"['1000000', '1000029', '1000008']",2025-03-15
user_00260,1,0.0,0,"['1000006', '1000016', '1000025', '1000011', '1000002']",2025-01-29
user_00261,0,0.0,0,"['1000035', '1000002', '1000038', '1000008']",2025-03-11
user_00262,1,0.0,0,"['1000036', '1000034', '1000008']",2025-08-28
user_00263,1,0.0,0,"['1000028', '1000001', '1000007', '1000016', '1000000', '1000014']",2025-09-12
user_00264,0,0.0,0,"['1000038', '1000031', '1000004', '1000011', '1000003']",2025-08-25
user_00265,1,1020.28,1,"['1000005', '1000035', '1000039']",2025-11-27
user_00266,1,0.0,0,"['1000004', '1000007', '1000008', '1000001', '1000002', '1000014']",2025-11-09
user_00267,1,0.0,0,"['1000004', '1000030', '1000025']",2025-04-30
user_00268,1,0.0,0,"['1000012', '1000008', '1000029']",2025-03-11
user_00269,1,0.0,0,"['1000003', '1000033', '1000000']",2025-06-03
user_00270,1,0.0,0,"['1000035', '1000002', '1000028']",2025-12-05
user_00271,1,0.0,0,"['1000000', '1000028', '1000015', '1000026']",2025-12-20
user_00272,1,0.0,0,"['1000002', '1000012', '1000006', '1000025']",2025-03-16
user_00273,0,0.0,0,"['1000031', '1000009', '1000025', '1000034', '1000021']",2025-02-23
user_00274,0,0.0,0,"['1000006', '1000009', '1000004']",2025-09-27
user_00275,0,0.0,0,"['1000009', '1000004', '1000028']",2025-11-18
user_00276,1,0.0,0,"['1000016', '1000017', '1000002']",2025-12-13
user_00277,0,0.0,0,"['1000000', '1000027']",2025-12-17
user_00278,0,669.0,1,"['1000012', '1000035', '1000004', '1000021', '1000022', '1000001']",2025-04-14
user_00279,0,0.0,0,"['1000021', '1000004', '1000005', '1000000']",2025-10-19
user_00280,1,0.0,0,"['1000017', '1000023', '1000004', '1000027', '1000025']",2025-09-03
user_00281,1,0.0,0,"['1000008', '1000001', '1000005', '1000003']",2025-05-03
user_00282,1,0.0,0,"['1000037', '1000029', '1000001']",2025-01-06
user_00283,1,0.0,0,"['1000010', '1000005']",2025-08-27
user_00284,0,3466.14,1,"['1000000', '1000006', '1000002']",2025-05-12
user_00285,0,8637.03,1,"['1000004', '1000006', '1000008', '1000009', '1000011']",2025-04-17
user_00286,1,0.0,0,"['1000007', '1000009', '1000008']",2025-01-04
user_00287,0,0.0,0,"['1000037', '1000001']",2025-02-14
user_00288,0,0.0,0,"['1000015', '1000003', '1000007', '1000012']",2025-03-11
user_00289,1,0.0,0,"['1000025', '1000038', '1000009']",2025-02-09
user_00290,0,0.0,0,"['1000005', '1000027', '1000004', '1000010']",2025-12-13
user_00291,1,0.0,0,"['1000030', '1000008']",2025-01-04
user_00292,0,0.0,0,"['1000013', '1000002', '1000001', '1000039']",2025-05-22
user_00293,1,0.0,0,"['1000003', '1000006', '1000010']",2025-12-24
user_00294,0,0.0,0,"['1000007', '1000001', '1000003', '1000009', '1000008']",2025-02-12
user_00295,0,0.0,0,"['1000027', '1000006', '1000036', '1000005']",2025-08-28
user_00296,0,0.0,0,"['1000006', '1000036']",2025-04-02
user_00297,0,0.0,0,"['1000030', '1000006', '1000007', '1000001', '1000005']",2025-04-28
user_00298,0,0.0,0,"['1000011', '1000029', '1000013', '1000009', '1000037']",2025-06-12
user_00299,0,4017.33,1,"['1000002', '1000026', '1000023', '1000012']",2025-07-31
user_00300,0,0.0,0,"['1000005', '1000012', '1000032', '1000009', '1000000', '1000001']",2025-10-05
user_00301,1,0.0,0,"['1000017', '1000020', '1000008', '1000004', '1000022']",2025-08-14
user_00302,0,0.0,0,"['1000006', '1000001', '1000008']",2025-01-08
user_00303,0,0.0,0,"['1000012', '1000037', '1000015']",2025-03-08
user_00304,0,723.8,1,"['1000004', '1000029', '1000005']",2025-08-18
user_00305,0,0.0,0,"['1000037', '1000006', '1000034', '1000032']",2025-04-16
user_00306,0,0.0,0,"['1000031', '1000000', '1000030', '1000023', '1000006', '1000009']",2025-01-22
user_00307,0,0.0,0,"['1000018', '1000036', '1000026', '1000008']",2025-07-19
user_00308,1,0.0,0,"['1000018', '1000003', '1000008']",2025-04-26
user_00309,1,0.0,0,"['1000027', '1000016', '1000026', '1000010', '1000007', '1000024']",2025-11-03
user_00310,0,0.0,0,"['1000001', '1000038', '1000036', '1000032']",2025-11-21
user_00311,0,0.0,0,"['1000033', '1000010', '1000009']",2025-02-17
user_00312,1,0.0,0,"['1000029', '1000005', '1000030', '1000004', '1000032', '1000012']",2025-10-11
user_00313,0,0.0,0,"['1000030', '1000009', '1000016']",2025-11-10
user_00314,0,0.0,0,"['1000035', '1000008', '1000004', '1000001']",2025-08-22
user_00315,1,0.0,0,"['1000015', '1000016', '1000017', '1000000']",2025-08-11
user_00316,0,719.28,1,"['1000000', '1000033', '1000021', '1000002', '1000001', '1000003']",2025-06-19
user_00317,0,0.0,0,"['1000028', '1000023', '1000018']",2025-06-28
user_00318,1,0.0,0,"['1000018', '1000031', '1000006']",2025-01-29
user_00319,0,0.0,0,"['1000006', '1000008', '1000039', '1000013']",2025-02-22
user_00320,0,1523.37,1,"['1000012', '1000028', '1000003', '1000008', '1000018']",2025-09-07
user_00321,0,0.0,0,"['1000039', '1000003']",2025-07-20
user_00322,1,0.0,0,"['1000009', '1000034', '1000023']",2025-03-05
user_00323,0,4218.03,1,"['1000016', '1000005', '1000003', '1000007', '1000028', '1000025']",2025-05-10
user_00324,0,2225.25,1,"['1000030', '1000003', '1000006', '1000026', '1000002']",2025-08-24
user_00325,0,7043.5,1,"['1000007', '1000003', '1000001']",2025-03-10
user_00326,0,0.0,0,"['1000006', '1000032', '1000001']",2025-03-18
user_00327,0,0.0,0,"['1000013', '1000011', '1000010', '1000000']",2025-11-18
user_00328,0,0.0,0,"['1000000', '1000010', '1000038', '1000008']",2025-06-17
user_00329,1,0.0,0,"['1000009', '1000038', '1000026', '1000010']",2025-06-18
user_00330,0,0.0,0,"['1000033', '1000014', '1000019', '1000027', '1000008']",2025-01-27
user_00331,1,0.0,0,"['1000037', '1000039']",2025-01-30
user_00332,0,0.0,0,"['1000015', '1000004', '1000026', '1000006', '1000014']",2025-08-26
user_00333,0,2894.8,1,"['1000001', '1000028']",2025-04-21
user_00334,1,0.0,0,"['1000037', '1000001', '1000023', '1000031', '1000002']",2025-04-13
user_00335,0,0.0,0,"['1000004', '1000007']",2025-03-08
user_00336,1,0.0,0,"['1000030', '1000009']",2025-10-03
user_00337,0,0.0,0,"['1000002', '1000005', '1000009']",2025-12-09
user_00338,1,0.0,0,"['1000000', '1000017', '1000027']",2025-04-06
user_00339,0,0.0,0,"['1000024', '1000031', '1000003']",2025-03-30
user_00340,1,0.0,0,"['1000016', '1000026', '1000010', '1000002']",2025-10-12
