Communication,alpha_key,start_date,end_date,start_balance,end_balance,start_accounts,end_accounts,nsegments,Contact_flag,control_flag
day90,user_183,2024-02-20,2024-02-27,4068.56,4326.63,2,2,['1000023'],0,1
day120,user_232,2024-03-27,2024-04-03,642.05,634.73,1,1,"['1000071', '1000107', '1000064', '1000020']",0,1
day5,user_247,2024-02-04,2024-02-11,1423.12,1539.26,1,1,['1000026'],0,1
day90,user_34,2024-01-06,2024-01-13,3809.21,4095.61,2,2,['1000036'],1,0
day5,user_169,2024-05-23,2024-05-30,2111.47,2370.88,1,1,"['1000080', '1000031', '1000076', '1000129']",1,0
day90,user_285,2024-02-27,2024-03-05,2323.56,2485.34,2,2,['1000134'],0,1
day90,user_159,2024-02-20,2024-02-27,3429.11,3470.85,1,1,"['1000007', '1000029', '1000066']",1,0
day5,user_169,2024-04-29,2024-05-06,2289.26,2571.64,1,1,"['1000080', '1000031', '1000076', '1000129']",1,0
day7,user_162,2024-03-04,2024-03-11,3231.3,2895.96,1,1,"['1000111', '1000088', '1000080', '1000130']",1,0
day7,user_192,2024-02-10,2024-02-17,36.82,0.0,1,1,"['1000037', '1000001', '1000027']",1,0
day31,user_111,2024-01-16,2024-01-23,1811.48,2077.06,0,0,"['1000067', '1000101', '1000033', '1000076']",0,1
day90,user_149,2024-05-22,2024-05-29,861.4,783.07,1,1,"['1000027', '1000097', '1000009']",1,0
day90,user_228,2024-03-10,2024-03-17,3587.12,4491.45,1,1,['1000118'],1,0
day1,user_126,2024-05-28,2024-06-04,3732.74,3828.15,1,2,['1000072'],1,0
day90,user_170,2024-06-20,2024-06-27,5821.58,6216.11,1,1,['1000079'],1,0
day31,user_95,2024-01-12,2024-01-19,3133.66,3089.41,1,1,"['1000108', '1000142']",1,0
day31,user_160,2024-06-17,2024-06-24,1719.14,1784.86,1,1,['1000045'],0,1
day5,user_279,2024-03-20,2024-03-27,4946.61,4823.37,0,1,"['1000140', '1000084', '1000090', '1000116']",1,0
day90,user_49,2024-04-22,2024-04-29,4521.88,4631.06,1,2,"['1000045', '1000129', '1000027']",1,0
day1,user_206,2024-02-17,2024-02-24,2865.22,3201.52,1,1,"['1000085', '1000081', '1000138', '1000020']",1,0
day7,user_11,2024-03-10,2024-03-17,4456.82,4629.87,1,1,"['1000071', '1000039', '1000055']",1,0
day120,user_253,2024-05-11,2024-05-18,6048.97,5825.05,0,0,['1000003'],0,1
day90,user_191,2024-03-27,2024-04-03,4439.01,4413.61,1,1,['1000062'],0,1
day1,user_114,2024-03-14,2024-03-21,402.41,352.4,2,2,"['1000144', '1000025', '1000018', '1000137']",0,1
day90,user_200,2024-05-05,2024-05-12,1007.05,1202.47,2,2,"['1000140', '1000114', '1000040', '1000121']",1,0
day1,user_263,2024-06-21,2024-06-28,5266.44,5588.4,1,1,"['1000115', '1000062', '1000118']",1,0
day31,user_260,2024-03-17,2024-03-24,1641.17,2299.54,1,1,"['1000082', '1000062']",1,0
day61,user_97,2024-01-26,2024-02-02,2182.08,2553.4,1,2,"['1000055', '1000014']",1,0
day61,user_74,2024-04-24,2024-05-01,4301.62,5138.01,1,2,"['1000018', '1000131']",1,0
day90,user_135,2024-05-19,2024-05-26,1720.26,1721.3,1,2,['1000109'],1,0
day61,user_125,2024-02-17,2024-02-24,482.14,523.38,1,1,"['1000039', '1000069']",1,0
day1,user_156,2024-03-29,2024-04-05,5607.22,5915.44,1,1,"['1000017', '1000071']",1,0
day31,user_63,2024-06-28,2024-07-05,5762.58,6032.59,2,2,"['1000138', '1000051', '1000079']",1,0
day90,user_259,2024-06-22,2024-06-29,4505.41,4725.66,1,2,['1000068'],1,0
day1,user_216,2024-03-20,2024-03-27,621.7,967.86,2,2,['1000122'],1,0
day7,user_169,2024-03-09,2024-03-16,2136.01,2621.75,1,1,"['1000080', '1000031', '1000076', '1000129']",1,0
day1,user_122,2024-06-14,2024-06-21,1471.43,1792.73,1,1,"['1000141', '1000076', '1000026']",1,0
day61,user_4,2024-06-25,2024-07-02,2170.28,2547.0,0,0,"['1000007', '1000023', '1000055', '1000059']",1,0
day31,user_235,2024-01-22,2024-01-29,2533.13,2873.08,1,1,"['1000007', '1000063']",1,0
day120,user_51,2024-06-12,2024-06-19,5490.73,5546.01,1,1,"['1000050', '1000039', '1000095']",1,0
day120,user_155,2024-02-08,2024-02-15,2145.1,2062.79,0,0,"['1000102', '1000084', '1000071']",1,0
day120,user_203,2024-03-07,2024-03-14,4923.14,5133.26,1,2,"['1000133', '1000124', '1000061', '1000070']",0,1
day90,user_82,2024-06-13,2024-06-20,2808.49,2929.48,1,1,"['1000027', '1000063', '1000049', '1000048']",0,1
day120,user_252,2024-06-22,2024-06-29,2928.06,3285.69,0,0,['1000087'],1,0
day1,user_284,2024-06-09,2024-06-16,755.65,981.5,2,2,"['1000055', '1000123', '1000070']",0,1
day1,user_266,2024-03-03,2024-03-10,3144.62,4122.83,2,2,"['1000046', '1000124', '1000054', '1000090']",1,0
day1,user_278,2024-06-02,2024-06-09,0.0,318.76,2,2,"['1000088', '1000108']",0,1
day61,user_20,2024-03-17,2024-03-24,2361.66,2267.29,1,1,['1000025'],0,1
day90,user_84,2024-02-09,2024-02-16,1268.89,1326.39,1,1,"['1000108', '1000046', '1000071']",1,0
day31,user_270,2024-05-12,2024-05-19,551.2,915.22,0,0,"['1000021', '1000061', '1000104', '1000125']",1,0
day5,user_155,2024-02-01,2024-02-08,2944.14,2876.05,0,0,"['1000102', '1000084', '1000071']",1,0
day61,user_273,2024-01-06,2024-01-13,6538.13,6462.36,2,2,['1000056'],1,0
day5,user_231,2024-01-16,2024-01-23,1918.29,2143.95,0,0,"['1000116', '1000083', '1000086', '1000097']",1,0
day31,user_107,2024-04-16,2024-04-23,4460.58,4467.21,0,0,"['1000148', '1000010']",1,0
day7,user_188,2024-01-06,2024-01-13,3806.05,4321.51,0,0,"['1000018', '1000116']",1,0
day7,user_246,2024-06-13,2024-06-20,3289.0,3758.47,2,2,['1000062'],1,0
day61,user_67,2024-06-26,2024-07-03,963.57,960.52,2,3,"['1000057', '1000016', '1000086', '1000005']",1,0
day1,user_242,2024-02-03,2024-02-10,3476.34,3824.26,1,2,['1000006'],1,0
day90,user_190,2024-06-21,2024-06-28,3768.79,4499.68,1,2,"['1000098', '1000126', '1000102']",1,0
day120,user_168,2024-04-19,2024-04-26,2664.47,2883.32,1,2,"['1000017', '1000084']",1,0
day90,user_51,2024-06-16,2024-06-23,5196.68,5536.88,1,2,"['1000050', '1000039', '1000095']",1,0
day31,user_172,2024-01-17,2024-01-24,3929.44,3925.47,1,1,"['1000075', '1000141', '1000032', '1000049']",1,0
day7,user_283,2024-03-15,2024-03-22,4388.99,4762.9,0,0,"['1000047', '1000049']",0,1
day31,user_206,2024-03-29,2024-04-05,1558.45,1571.66,1,1,"['1000085', '1000081', '1000138', '1000020']",1,0
day1,user_150,2024-06-10,2024-06-17,2286.56,2832.62,2,2,"['1000120', '1000056', '1000051']",1,0
day31,user_270,2024-04-11,2024-04-18,573.06,0.0,0,0,"['1000021', '1000061', '1000104', '1000125']",1,0
day31,user_44,2024-03-17,2024-03-24,2020.7,2666.27,1,1,"['1000064', '1000141', '1000002', '1000029']",1,0
day90,user_275,2024-04-27,2024-05-04,3248.2,3909.64,1,1,['1000094'],1,0
day1,user_6,2024-04-29,2024-05-06,5394.0,5689.95,2,2,['1000006'],1,0
day31,user_16,2024-02-27,2024-03-05,3142.67,3113.69,0,0,"['1000096', '1000020', '1000141', '1000075']",1,0
day90,user_188,2024-02-25,2024-03-03,4241.05,4371.58,0,0,"['1000018', '1000116']",0,1
day90,user_166,2024-02-13,2024-02-20,2941.09,2833.64,1,1,"['1000000', '1000133', '1000137']",1,0
day90,user_200,2024-06-06,2024-06-13,1471.52,1748.81,2,2,"['1000140', '1000114', '1000040', '1000121']",1,0
day31,user_135,2024-04-10,2024-04-17,1833.5,1781.82,1,2,['1000109'],1,0
day7,user_192,2024-04-19,2024-04-26,0.0,340.06,1,1,"['1000037', '1000001', '1000027']",1,0
day120,user_158,2024-02-22,2024-02-29,3954.64,4056.51,1,1,"['1000130', '1000102', '1000137', '1000084']",1,0
day31,user_87,2024-03-29,2024-04-05,6190.84,6456.59,1,2,"['1000113', '1000140', '1000025', '1000012']",0,1
day90,user_230,2024-06-11,2024-06-18,4083.31,4106.69,1,1,"['1000066', '1000097', '1000083', '1000054']",1,0
day31,user_48,2024-04-14,2024-04-21,1484.6,1840.69,1,1,"['1000067', '1000128']",0,1
day61,user_193,2024-04-28,2024-05-05,2198.76,2329.7,2,3,"['1000108', '1000056', '1000045']",1,0
day1,user_129,2024-04-06,2024-04-13,1427.77,1784.84,1,1,"['1000023', '1000108', '1000070', '1000011']",1,0
day120,user_233,2024-02-17,2024-02-24,948.34,1121.68,1,2,"['1000120', '1000004', '1000138', '1000013']",1,0
day61,user_99,2024-03-13,2024-03-20,3141.43,3091.1,0,1,"['1000138', '1000015', '1000080']",1,0
day1,user_178,2024-02-18,2024-02-25,1643.29,2128.24,1,1,"['1000082', '1000119', '1000113']",1,0
day31,user_116,2024-01-23,2024-01-30,4133.06,4048.71,0,0,"['1000129', '1000067']",1,0
day61,user_12,2024-06-07,2024-06-14,5536.53,5772.98,1,1,"['1000086', '1000026', '1000023']",0,1
day90,user_296,2024-01-08,2024-01-15,3350.26,3437.86,0,1,"['1000072', '1000120', '1000122']",1,0
day31,user_224,2024-03-31,2024-04-07,1635.61,1742.06,1,1,"['1000100', '1000144']",1,0
day1,user_1,2024-01-24,2024-01-31,3253.01,3427.93,1,1,['1000057'],0,1
day7,user_264,2024-03-12,2024-03-19,5400.72,5550.69,1,1,"['1000145', '1000097']",1,0
day90,user_25,2024-03-25,2024-04-01,2745.46,3410.99,1,2,"['1000062', '1000041']",1,0
day1,user_298,2024-03-24,2024-03-31,4817.1,4862.15,0,0,"['1000087', '1000047', '1000013', '1000064']",0,1
day120,user_286,2024-04-29,2024-05-06,2537.92,2525.79,2,2,['1000072'],1,0
day1,user_59,2024-02-11,2024-02-18,2916.42,2596.06,1,1,"['1000032', '1000121', '1000140']",0,1
day31,user_67,2024-06-18,2024-06-25,693.4,788.63,2,2,"['1000057', '1000016', '1000086', '1000005']",1,0
day5,user_154,2024-01-07,2024-01-14,2467.36,2322.97,1,1,"['1000006', '1000049']",1,0
day1,user_78,2024-06-21,2024-06-28,2988.16,3133.93,1,1,"['1000048', '1000024', '1000110', '1000090']",1,0
day31,user_202,2024-06-02,2024-06-09,3723.63,3839.58,0,1,['1000070'],1,0
day90,user_115,2024-02-08,2024-02-15,2774.85,2683.76,2,2,['1000054'],1,0
day61,user_67,2024-04-08,2024-04-15,828.1,1146.02,2,2,"['1000057', '1000016', '1000086', '1000005']",1,0
day61,user_145,2024-04-15,2024-04-22,2408.85,2471.55,1,1,"['1000060', '1000041', '1000045']",0,1
day90,user_100,2024-04-18,2024-04-25,3311.11,3404.43,0,1,"['1000014', '1000012']",1,0
day61,user_144,2024-03-28,2024-04-04,3054.83,3338.62,1,1,"['1000143', '1000104', '1000039']",1,0
day7,user_41,2024-03-02,2024-03-09,3132.38,3809.64,2,2,"['1000012', '1000028']",1,0
day120,user_150,2024-01-10,2024-01-17,2749.62,2856.3,2,2,"['1000120', '1000056', '1000051']",0,1
day1,user_140,2024-02-11,2024-02-18,2194.64,2930.21,1,1,['1000141'],1,0
day1,user_288,2024-05-07,2024-05-14,5132.69,5213.91,1,1,"['1000049', '1000075', '1000058', '1000092']",0,1
day5,user_92,2024-03-30,2024-04-06,3917.43,4130.98,2,3,"['1000097', '1000000']",1,0
day90,user_237,2024-03-17,2024-03-24,3173.58,3456.25,1,2,"['1000039', '1000061', '1000032']",1,0
day1,user_207,2024-02-06,2024-02-13,160.46,315.33,1,1,"['1000035', '1000038']",0,1
day61,user_162,2024-03-12,2024-03-19,3256.63,3762.72,1,2,"['1000111', '1000088', '1000080', '1000130']",1,0
day90,user_233,2024-03-11,2024-03-18,1612.48,1337.62,1,1,"['1000120', '1000004', '1000138', '1000013']",0,1
day1,user_202,2024-04-19,2024-04-26,3458.52,3410.44,0,0,['1000070'],0,1
day120,user_115,2024-02-26,2024-03-04,2952.97,3149.37,2,2,['1000054'],1,0
day61,user_43,2024-06-09,2024-06-16,4274.13,4863.67,1,1,"['1000098', '1000097', '1000119', '1000135']",1,0
day61,user_232,2024-05-05,2024-05-12,579.61,410.83,1,1,"['1000071', '1000107', '1000064', '1000020']",0,1
day7,user_294,2024-01-13,2024-01-20,5030.93,5319.94,1,1,"['1000074', '1000032', '1000125', '1000026']",0,1
day1,user_230,2024-03-05,2024-03-12,3716.36,3695.74,1,1,"['1000066', '1000097', '1000083', '1000054']",0,1
day31,user_226,2024-02-18,2024-02-25,2676.03,2795.69,1,1,"['1000021', '1000109']",1,0
day120,user_205,2024-01-23,2024-01-30,2919.81,2828.64,0,1,"['1000019', '1000073', '1000060', '1000069']",1,0
day90,user_287,2024-05-25,2024-06-01,1452.77,1788.2,0,0,['1000025'],1,0
day90,user_29,2024-04-08,2024-04-15,2638.56,2975.9,1,1,['1000102'],1,0
day1,user_41,2024-03-23,2024-03-30,3371.68,4053.18,2,3,"['1000012', '1000028']",1,0
day5,user_124,2024-05-15,2024-05-22,1732.29,1878.69,1,1,"['1000067', '1000029', '1000027', '1000141']",0,1
day31,user_153,2024-01-22,2024-01-29,1302.07,1583.04,2,2,['1000057'],1,0
day1,user_287,2024-04-13,2024-04-20,1224.35,1022.17,0,0,['1000025'],1,0
day61,user_284,2024-03-18,2024-03-25,0.0,95.06,2,2,"['1000055', '1000123', '1000070']",1,0
day1,user_27,2024-05-02,2024-05-09,3912.25,4755.97,2,2,"['1000069', '1000142', '1000056', '1000083']",1,0
day5,user_43,2024-03-18,2024-03-25,4011.77,4032.34,1,1,"['1000098', '1000097', '1000119', '1000135']",0,1
day1,user_240,2024-03-08,2024-03-15,3873.93,4264.42,0,0,"['1000094', '1000042', '1000029']",1,0
day61,user_155,2024-02-22,2024-02-29,2922.53,3318.46,0,0,"['1000102', '1000084', '1000071']",1,0
day90,user_48,2024-06-08,2024-06-15,337.05,403.77,1,1,"['1000067', '1000128']",1,0
day90,user_160,2024-06-10,2024-06-17,2997.37,2816.35,1,1,['1000045'],1,0
day90,user_253,2024-01-31,2024-02-07,5152.73,5304.59,0,0,['1000003'],1,0
day90,user_81,2024-05-25,2024-06-01,4606.78,4734.69,1,1,['1000086'],1,0
day31,user_40,2024-03-21,2024-03-28,5318.96,5725.12,1,2,"['1000130', '1000126', '1000023']",1,0
day90,user_30,2024-01-17,2024-01-24,4275.44,4501.39,2,3,['1000068'],1,0
day1,user_116,2024-03-18,2024-03-25,5224.15,5612.89,0,1,"['1000129', '1000067']",1,0
day7,user_287,2024-05-11,2024-05-18,801.42,749.72,0,0,['1000025'],1,0
day1,user_144,2024-01-29,2024-02-05,3304.38,3363.14,1,1,"['1000143', '1000104', '1000039']",0,1
day90,user_7,2024-04-24,2024-05-01,1675.25,1531.61,1,1,"['1000143', '1000050', '1000139']",0,1
day31,user_275,2024-04-26,2024-05-03,3294.88,3737.16,1,2,['1000094'],1,0
day1,user_258,2024-05-01,2024-05-08,2116.25,1941.45,1,1,"['1000123', '1000119', '1000111']",1,0
day90,user_212,2024-05-09,2024-05-16,2702.84,3134.78,1,1,"['1000138', '1000119', '1000106']",1,0
day7,user_221,2024-04-29,2024-05-06,4984.02,4846.09,1,1,"['1000099', '1000086']",0,1
day90,user_92,2024-02-20,2024-02-27,5203.61,5237.61,2,3,"['1000097', '1000000']",1,0
day7,user_107,2024-01-12,2024-01-19,5382.54,5218.27,0,0,"['1000148', '1000010']",0,1
day31,user_221,2024-04-14,2024-04-21,4843.65,4702.14,1,1,"['1000099', '1000086']",1,0
day120,user_12,2024-01-27,2024-02-03,7141.98,7145.65,1,1,"['1000086', '1000026', '1000023']",0,1
day90,user_16,2024-03-28,2024-04-04,2910.8,3142.55,0,1,"['1000096', '1000020', '1000141', '1000075']",1,0
day7,user_153,2024-04-17,2024-04-24,131.46,186.36,2,2,['1000057'],0,1
day1,user_89,2024-06-28,2024-07-05,2812.86,3014.39,1,1,"['1000023', '1000060', '1000042', '1000104']",1,0
day7,user_289,2024-02-24,2024-03-02,3326.63,3177.12,1,1,['1000045'],1,0
day7,user_256,2024-03-24,2024-03-31,4858.97,5414.55,1,1,"['1000039', '1000111']",1,0
day1,user_293,2024-02-06,2024-02-13,4077.93,4471.24,1,2,"['1000013', '1000141']",1,0
day5,user_163,2024-05-29,2024-06-05,5155.49,5321.97,1,1,"['1000029', '1000098']",0,1
day90,user_154,2024-03-01,2024-03-08,1907.62,2126.38,1,1,"['1000006', '1000049']",1,0
day1,user_154,2024-01-24,2024-01-31,2572.49,2615.82,1,2,"['1000006', '1000049']",1,0
day5,user_272,2024-06-14,2024-06-21,2101.95,2181.93,1,1,"['1000114', '1000004', '1000023', '1000075']",0,1
day1,user_91,2024-04-21,2024-04-28,6019.29,6216.54,2,2,"['1000015', '1000042']",1,0
day120,user_111,2024-01-30,2024-02-06,1374.68,1371.42,0,0,"['1000067', '1000101', '1000033', '1000076']",0,1
day90,user_207,2024-01-01,2024-01-08,135.52,155.99,1,1,"['1000035', '1000038']",0,1
day120,user_3,2024-01-19,2024-01-26,89.48,260.99,1,1,"['1000022', '1000108', '1000008']",1,0
day90,user_38,2024-02-02,2024-02-09,3915.53,4149.9,0,1,"['1000149', '1000109', '1000102']",1,0
day61,user_94,2024-02-20,2024-02-27,3108.88,3509.67,1,1,"['1000116', '1000073']",1,0
day120,user_111,2024-06-15,2024-06-22,1937.94,1982.28,0,0,"['1000067', '1000101', '1000033', '1000076']",1,0
day90,user_65,2024-06-11,2024-06-18,3695.32,3653.37,1,1,"['1000112', '1000132', '1000115', '1000030']",1,0
day5,user_259,2024-04-17,2024-04-24,4598.73,4962.74,1,1,['1000068'],1,0
day90,user_182,2024-02-25,2024-03-03,3966.75,4589.32,2,2,"['1000072', '1000131', '1000085']",1,0
day120,user_32,2024-01-07,2024-01-14,4217.86,3882.58,0,0,"['1000054', '1000127']",1,0
day1,user_60,2024-01-12,2024-01-19,721.24,1109.19,1,1,"['1000042', '1000067', '1000135']",1,0
day61,user_240,2024-01-30,2024-02-06,2338.0,2835.38,0,0,"['1000094', '1000042', '1000029']",1,0
day120,user_215,2024-03-27,2024-04-03,3278.69,3086.56,1,1,"['1000149', '1000005', '1000147', '1000097']",1,0
day90,user_281,2024-06-16,2024-06-23,1663.29,1828.58,1,1,"['1000030', '1000049']",0,1
day5,user_122,2024-01-22,2024-01-29,1668.27,1534.22,1,1,"['1000141', '1000076', '1000026']",0,1
day90,user_134,2024-03-26,2024-04-02,4269.49,4427.18,1,1,['1000141'],0,1
day7,user_286,2024-03-24,2024-03-31,2953.8,2838.77,2,2,['1000072'],0,1
day120,user_133,2024-04-12,2024-04-19,2686.9,3124.59,2,2,"['1000067', '1000041', '1000113']",1,0
day5,user_277,2024-01-13,2024-01-20,5088.29,4855.11,1,1,['1000135'],0,1
day61,user_184,2024-04-01,2024-04-08,2861.27,4046.25,2,3,['1000060'],1,0
day31,user_272,2024-02-27,2024-03-05,2907.7,3235.45,1,1,"['1000114', '1000004', '1000023', '1000075']",1,0
day61,user_80,2024-04-29,2024-05-06,2979.8,2848.37,1,1,"['1000013', '1000025', '1000015', '1000103']",0,1
day120,user_79,2024-01-30,2024-02-06,1808.45,2688.11,1,2,"['1000108', '1000105', '1000119']",1,0
day90,user_288,2024-03-28,2024-04-04,4819.91,5152.6,1,1,"['1000049', '1000075', '1000058', '1000092']",1,0
day7,user_267,2024-03-28,2024-04-04,2233.52,2342.71,0,0,"['1000066', '1000087', '1000071']",1,0
day61,user_37,2024-03-08,2024-03-15,2638.05,3442.44,2,2,['1000067'],1,0
day1,user_89,2024-04-12,2024-04-19,3239.78,3023.31,1,2,"['1000023', '1000060', '1000042', '1000104']",1,0
day120,user_243,2024-01-17,2024-01-24,5678.5,6143.0,1,1,"['1000079', '1000147', '1000096']",1,0
day120,user_288,2024-02-02,2024-02-09,4807.03,4548.23,1,2,"['1000049', '1000075', '1000058', '1000092']",1,0
day1,user_224,2024-05-22,2024-05-29,1491.42,1478.7,1,1,"['1000100', '1000144']",1,0
day120,user_68,2024-04-26,2024-05-03,2849.12,3325.59,1,1,"['1000141', '1000058']",1,0
day120,user_63,2024-02-17,2024-02-24,4700.52,5122.84,2,3,"['1000138', '1000051', '1000079']",1,0
day1,user_282,2024-06-07,2024-06-14,1738.59,1938.11,1,1,"['1000080', '1000030', '1000137']",0,1
day90,user_141,2024-06-04,2024-06-11,834.31,1017.53,1,1,"['1000037', '1000110', '1000032', '1000010']",1,0
day90,user_60,2024-04-28,2024-05-05,1318.3,1798.7,1,2,"['1000042', '1000067', '1000135']",1,0
day61,user_94,2024-02-24,2024-03-02,3212.93,2813.12,1,1,"['1000116', '1000073']",1,0
day31,user_287,2024-03-16,2024-03-23,909.19,1099.33,0,0,['1000025'],0,1
day31,user_179,2024-02-26,2024-03-04,1527.29,1639.81,2,2,['1000113'],1,0
day90,user_79,2024-06-25,2024-07-02,2393.31,2441.71,1,1,"['1000108', '1000105', '1000119']",1,0
day90,user_26,2024-04-20,2024-04-27,3036.03,3451.95,2,2,"['1000118', '1000097']",1,0
day61,user_263,2024-04-23,2024-04-30,4676.27,4929.42,1,1,"['1000115', '1000062', '1000118']",1,0
day31,user_4,2024-01-19,2024-01-26,1517.65,1756.72,0,0,"['1000007', '1000023', '1000055', '1000059']",1,0
day90,user_75,2024-05-13,2024-05-20,326.36,963.64,1,2,"['1000060', '1000071', '1000124', '1000054']",1,0
day1,user_41,2024-02-09,2024-02-16,3133.0,2917.79,2,2,"['1000012', '1000028']",0,1
day1,user_292,2024-03-28,2024-04-04,2931.26,3156.71,1,1,"['1000070', '1000011']",1,0
day31,user_145,2024-05-05,2024-05-12,3089.64,3010.41,1,1,"['1000060', '1000041', '1000045']",1,0
day7,user_196,2024-05-03,2024-05-10,2812.86,3111.65,2,3,"['1000063', '1000031', '1000116', '1000034']",1,0
day120,user_130,2024-01-03,2024-01-10,3196.11,3501.24,0,0,['1000000'],0,1
day1,user_253,2024-06-24,2024-07-01,5733.92,6238.85,0,0,['1000003'],1,0
day5,user_255,2024-04-19,2024-04-26,3234.5,3433.1,1,1,"['1000110', '1000092', '1000117']",0,1
day5,user_219,2024-05-28,2024-06-04,5825.37,6073.8,2,2,"['1000056', '1000124', '1000069']",0,1
day61,user_64,2024-02-17,2024-02-24,1856.42,2092.38,1,1,"['1000102', '1000095']",0,1
day7,user_79,2024-03-03,2024-03-10,1583.39,1731.43,1,1,"['1000108', '1000105', '1000119']",0,1
day90,user_297,2024-03-01,2024-03-08,5871.73,6075.23,0,0,['1000112'],1,0
day120,user_71,2024-03-31,2024-04-07,744.93,816.68,0,0,['1000058'],1,0
day1,user_263,2024-03-19,2024-03-26,4093.18,4765.09,1,1,"['1000115', '1000062', '1000118']",1,0
day61,user_271,2024-04-23,2024-04-30,2579.69,3476.36,2,3,"['1000142', '1000061', '1000121', '1000125']",1,0
